Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,
 2023-Aug-15 00:00, , , 11 30 43.13, +04 01 35.9,    1.782,  4.418,  2.43364438606523,  6.3564000,
 2023-Aug-16 00:00, , , 11 33 01.98, +03 46 07.4,    1.769,  4.402,  2.43728583601902,  6.2532332,
 2023-Aug-17 00:00, , , 11 35 20.92, +03 30 36.8,    1.770,  4.400,  2.44086761472328,  6.1497831,
 2023-Aug-18 00:00, , , 11 37 39.94, +03 15 04.1,    1.785,  4.413,  2.44438957963298,  6.0461235,
 2023-Aug-19 00:00, , , 11 39 59.06, +02 59 29.6,    1.776,  4.401,  2.44785163233099,  5.9423332,
 2023-Aug-20 00:00, , , 11 42 18.27, +02 43 53.2,    1.756,  4.379,  2.45125372111536,  5.8384952,
 2023-Aug-21 00:00, , , 11 44 37.58, +02 28 15.1,    1.750,  4.371,  2.45459584332061,  5.7346964,
 2023-Aug-22 00:00, , , 11 46 57.00, +02 12 35.3,    1.737,  4.354,  2.45787804766150,  5.6310278,
 2023-Aug-23 00:00, , , 11 49 16.53, +01 56 54.1,    1.729,  4.345,  2.46110043689131,  5.5275856,
 2023-Aug-24 00:00, , , 11 51 36.18, +01 41 11.4,    1.721,  4.334,  2.46426317083996,  5.4244712,
 2023-Aug-25 00:00, , , 11 53 55.94, +01 25 27.3,    1.690,  4.302,  2.46736646935155,  5.3217907,
 2023-Aug-26 00:00, , , 11 56 15.83, +01 09 42.1,    1.692,  4.301,  2.47041061373815,  5.2196498,
 2023-Aug-27 00:00, , , 11 58 35.86, +00 53 55.7,    1.687,  4.294,  2.47339594420866,  5.1181445,
 2023-Aug-28 00:00, , , 12 00 56.02, +00 38 08.2,    1.677,  4.281,  2.47632284974310,  5.0173445,
 2023-Aug-29 00:00, , , 12 03 16.32, +00 22 19.8,    1.671,  4.274,  2.47919174696177,  4.9172721,
 2023-Aug-30 00:00, , , 12 05 36.78, +00 06 30.6,    1.666,  4.267,  2.48200304683530,  4.8178829,
 2023-Aug-31 00:00, , , 12 07 57.39, -00 09 19.5,    1.664,  4.263,  2.48475711297039,  4.7190574,
 2023-Sep-01 00:00, , , 12 10 18.17, -00 25 10.3,    1.656,  4.253,  2.48745422085396,  4.6206137,
 2023-Sep-02 00:00, , , 12 12 39.13, -00 41 01.7,    1.644,  4.239,  2.49009452988331,  4.5223380,
 2023-Sep-03 00:00, , , 12 15 00.27, -00 56 53.6,    1.637,  4.230,  2.49267807629152,  4.4240239,
 2023-Sep-04 00:00, , , 12 17 21.60, -01 12 46.1,    1.639,  4.231,  2.49520478684653,  4.3255027,
 2023-Sep-05 00:00, , , 12 19 43.13, -01 28 38.9,    1.649,  4.239,  2.49767450587084,  4.2266586,
 2023-Sep-06 00:00, , , 12 22 04.87, -01 44 32.0,    1.657,  4.245,  2.50008702581585,  4.1274265,
